ID,Category,Question,Option_A,Option_B,Ref_Shia,Ref_Sunni,Category_English,Question_English,Option_A_English,Option_B_English
77,,इस्लाम में तवस्सुल को माना गया है?,जायज़,विवादित,अल-काफी,क़ायदा अल-जलिला,,Is Tawassul accepted in Islam?,prize winner,Contested
78,,इस्लाम में इमामों की ज़ियारत को माना गया है ?,अत्यंत पुण्य,वैकल्पिक,कामिलुज़-ज़ियारात,सहीह मुस्लिम,,Is visiting imams is considered in Islam?,extremely meritorious,Alternative
79,,इस्लाम में मातम की निम्न में से कौन स्थिति सही है?,धार्मिक अभिव्यक्ति,नवाचार,लहूफ़,फ़तावा इब्न तैमिया,,Which of the following situations is correct in Islam regarding mourning?,religious expression,New ideas/innovations
80,,इस्लाम के अनुसार मजलिस में मातम की क्या स्थिति है?,जायज,नाजायज,बिहार अल-अनवार,फ़िक़्ह अल-सुन्नह,,What is the status of mourning in a council according to Islam?,prize winner,Unjust
81,,इस्लामिक मान्यताओं के अनुसार ग़ैबत की अवधारणा के विषय में निम्न में से कौन तथ्य सही है ?,मूल आस्था,नहीं,"अल-ग़ैबा, शेख तूसी",अक़ीदा ग्रंथ,,"According to Islamic beliefs, which of the following is a correct fact about the concept of Ghaybat?",Original faith,No
82,,बारहवें इमाम महदी की पहचान के संबंध में निम्न में से कौन स तथ्य सही है?,निश्चित,अनिश्चित,बिहार अल-अनवार,सुनन अबू दाऊद,,Which of the following statements about the identity of the Twelfth Imam Mahdi is correct?,Certain/Certainly,Uncertain
83,,इस्लाम के सिद्धांतों में अंतिम नेतृत्व के संबंध में कौन सी धारणा सही है?,इमाम महदी,क़ुरआन व सुन्नत,अल-काफी,सहीह बुख़ारी,,Which concept regarding ultimate leadership is correct in Islamic doctrines?,Imam Mahdi,Quran and Sunnah
84,,इस्लाम की प्रचलित मान्यताओं के अनुसार इमाम के ज्ञान के संबंध निम्न में से कौन स तथ्य अधिक प्रभावी है?,इल्म-ए-लद्दुन्नी,सामान्य,अल-काफी,अक़ीदा ग्रंथ,,"According to the established beliefs of Islam, which of the following facts regarding the knowledge of an Imam is more effective?",Science of Luddunni,General
85,,इस्लाम के अनुसार दुआ में वसीला का उपयोग है?,मान्य,मतभेदित,सहिफ़ा-ए-सज्जादिया,फ़तावा,,Is there a use of wasila (intercession) in dua according to Islam?,Valid,vote splitter
86,,इस्लाम की दृष्टी में इमामों की आज्ञा के उल्लंघन को निम्न में से क्या माना गया है ?,गुनाह,वैचारिक मतभेद,अल-काफी,उसूल अल-फ़िक़्ह,,"From the Islamic perspective, what is considered the violation of the orders of the Imams?",Sin,ideological differences
87,,निम्न में से कब इस्लामी सत्ता को वैध माना जायेगा ?,जब वह अल्लाह द्वारा नियुक्त इमाम के नियंत्रण में हो,जब उसका संचालन शरियत और उम्मत की सहमति से हो,नहजुल बलाग़ा,अल-अहकाम अल-सुल्तानिया,,When will Islamic authority be recognized as valid?,When he is under the control of an Imam appointed by Allah,When its operation is in accordance with Shariah and the consensus of the Ummah
88,,इस्लामिक सिद्धांतो के अनुसार दीन की सुरक्षा के संबंध में निम्न में से कौन स विकल्प मानी है ?,जब दीन इमाम की निगरानी में हो,जब शरियत और उम्मत का पालन हो,अल-काफी,सहीह बुख़ारी,,"According to Islamic doctrines, which of the following options is considered regarding the security of the state religion?",When under the supervision of Dain Imam,When the Shariah and the Ummah are followed
89,,निम्न में से किसे इस्लामी पहचान का केंद्र मानना उचित है?,इमामत,सुन्नत,उसूल-ए-दीन,अक़ीदा अहले-सुन्नत,,Which of the following should be considered the center of Islamic identity?,Imamat,circumcision
